"","pid","y_1","y_2","con_1","con_2","cat_1","cat_2","catwtn_1","catwtn_2","catbtw_1","catbtw_2","conwtn_1","conwtn_2"
"1",1,6.71510303924962,0.369244881921684,-7.80736809140389,-5.91924609555384,30.4124145231932,10.4124145231932,1,-1,1,1,-0.183129888380932,0.00568218521855411
"2",2,-1.27635724302477,-0.960252972516208,20.4792892271016,29.5738868460262,-30.4124145231932,-30.4124145231932,-1,-1,-1,-1,-0.881070490462275,0.0283892062159911
"3",3,-3.3904306096649,-1.64874541711096,-26.7060329164116,-28.624356591151,10.4124145231932,30.4124145231932,-1,1,1,1,-0.32251803689295,-0.514350512261619
"4",4,-3.61627903426407,-7.66357472885705,22.2394477190587,10.9471436294324,-30.4124145231932,-30.4124145231932,-1,-1,-1,-1,1.10101725644765,-0.0282132483750091
"5",5,-4.37586306852658,-7.86239144244142,4.95897797527462,-7.94038385228484,-10.4124145231932,-10.4124145231932,1,1,-1,-1,0.590814750997806,-0.699121454749823
"6",6,-10.21860705791,-7.64253424089458,-15.6500411772708,-11.4888564505052,-10.4124145231932,-10.4124145231932,1,1,-1,-1,-0.490618668244359,-0.0745002608446395
"7",7,15.694453560756,16.7672886031338,41.3779129422252,27.4769862620221,10.4124145231932,30.4124145231932,-1,1,1,1,-0.292657984488013,-1.68275063620606
"8",8,2.07748629431989,7.36079881938945,-7.04759049782479,-10.9556915346547,10.4124145231932,30.4124145231932,-1,1,1,1,-0.661650166366336,-1.05246033859401
"9",9,3.24057756212088,-3.01275842273601,-13.2303286574864,-20.3531620521036,30.4124145231932,10.4124145231932,1,-1,1,1,-0.44589041364851,-1.15817388712839
"10",10,-5.29980556782936,-7.364580726262,4.99861888634505,0.751829502092962,-30.4124145231932,-30.4124145231932,-1,-1,-1,-1,2.01008902854163,1.58541002319542
"11",11,-11.8193228228345,-8.35712829591822,-32.1786070462281,-19.7568407542318,-10.4124145231932,-10.4124145231932,1,1,-1,-1,-0.197227608655125,1.04494900684652
"12",12,-16.799208662556,-6.19296106425184,-30.1023566260279,6.39611286312942,-30.4124145231932,-30.4124145231932,-1,-1,-1,-1,-1.76270084761247,1.88714613777596
"13",13,-0.371233440464065,-1.81736458056258,22.6813063799446,24.1615111715649,-30.4124145231932,-30.4124145231932,-1,-1,-1,-1,-1.12160886506933,-0.973588422563401
"14",14,4.26742146478334,-3.42519019778535,44.5061944404254,20.4982067713008,-30.4124145231932,-30.4124145231932,-1,-1,-1,-1,1.86347413114601,-0.537324561400993
"15",15,0.220178453091139,-0.253345373249947,13.0511574322686,4.61752462936328,-10.4124145231932,-10.4124145231932,1,1,-1,-1,0.504822859591094,-0.338540333832605
"16",16,13.2172871328159,16.3354354585908,35.4861250708067,25.7812564641506,10.4124145231932,30.4124145231932,-1,1,1,1,0.169290827879551,-0.80119608282818
"17",17,-2.28446070096036,7.19580424013964,-23.0662000075529,-15.3874721029236,10.4124145231932,30.4124145231932,-1,1,1,1,-0.792973572385133,-0.0251006479467254
"18",18,-15.4920585175598,-15.153604659628,-33.8146525565828,-34.4191465253861,-10.4124145231932,-10.4124145231932,1,1,-1,-1,-1.10969715874802,-1.17014662350421
