"","pid","y_1","y_2","con_1","con_2","cat_1","cat_2","catwtn_1","catwtn_2","catbtw_1","catbtw_2","conwtn_1","conwtn_2"
"1",1,3.28367333657612,5.75218926468891,-25.3068643498775,0.229034564551377,30.4124145231932,10.4124145231932,1,-1,1,1,-1.40334478237361,1.1502449998348
"2",2,7.19216297712924,18.8735668269271,11.748668438653,28.4406288491614,10.4124145231932,30.4124145231932,-1,1,1,1,-0.388027237584191,1.28116876364966
"3",3,-2.16856315858045,-8.06144757234187,1.23054262351976,-11.657181144409,-10.4124145231932,-10.4124145231932,1,1,-1,-1,1.42958274552514,0.140810390327543
"4",4,4.04720206682987,0.735070213283105,-19.8786176415586,-13.9377540301256,30.4124145231932,10.4124145231932,1,-1,1,1,-0.0561935336718793,0.537892899474817
"5",5,3.530639405504,15.2083270856071,6.16975396151365,29.1089005472914,10.4124145231932,30.4124145231932,-1,1,1,1,-0.913140151878979,1.3807745564791
"6",6,11.1187137582476,20.4332456500417,27.2877016443013,42.2558632211061,10.4124145231932,30.4124145231932,-1,1,1,1,-0.270476374414359,1.22633974086725
"7",7,-4.16136482906903,-7.0505407305001,-3.33927621564924,-14.6941839479586,-10.4124145231932,-10.4124145231932,1,1,-1,-1,0.891080254753883,-0.244410545144054
"8",8,-5.66733598255666,-3.11027905923857,-13.5973639358323,-8.57498860389174,-10.4124145231932,-10.4124145231932,1,1,-1,-1,-1.82333366110495,-1.32109602640769
"9",9,-0.925769967183872,4.31421829740351,-8.6383679059586,-5.86595717789758,10.4124145231932,30.4124145231932,-1,1,1,1,0.0890296623387664,0.36627054894301
"10",10,-5.25167788131847,-1.14962844763068,-29.717929545691,-32.3717308456225,10.4124145231932,30.4124145231932,-1,1,1,1,0.476966325748508,0.211586244375756
"11",11,-5.37512355151877,0.336307090341486,11.7458324275471,29.9852105449889,-30.4124145231932,-30.4124145231932,-1,-1,-1,-1,-0.801815367681734,1.02212232887911
"12",12,-7.19749246404097,-8.72019881956125,-30.7016018040053,-60.5000555233123,10.4124145231932,30.4124145231932,-1,1,1,1,2.27573767207948,-0.704107604261908
"13",13,5.52000382647948,-2.12311297665168,-14.4713616883793,-17.7364516758536,30.4124145231932,10.4124145231932,1,-1,1,1,0.217981680164705,-0.108527363431598
"14",14,4.82513034395715,10.6876513963549,5.69126567686206,8.68897922225916,10.4124145231932,30.4124145231932,-1,1,1,1,-0.884353378177638,-0.584581986705117
"15",15,-4.4092789946021,-7.14246035204816,-48.0785648971476,-38.5550414328409,30.4124145231932,10.4124145231932,1,-1,1,1,-0.725872555663242,0.226479806649545
"16",16,14.7062428596092,4.67105672209569,19.6085528634055,9.19944725961547,30.4124145231932,10.4124145231932,1,-1,1,1,0.315130076761338,-0.725780548865691
"17",17,-15.9674952978007,-16.1405151678481,-16.379576619357,-21.2989442047512,-30.4124145231932,-30.4124145231932,-1,-1,-1,-1,0.747178643583927,0.255241939706884
"18",18,7.4247936581226,1.77373122523414,36.6296507397734,20.5915917670536,-10.4124145231932,-10.4124145231932,1,1,-1,-1,1.52555300611317,-0.0782528790912728
"19",19,-18.1522552049755,-12.1126869311711,-23.610953646657,-10.5025739304497,-30.4124145231932,-30.4124145231932,-1,-1,-1,-1,-0.942491405942118,0.368346619237997
